hour_cet,correction_mwh
0,-9.553179546168868
1,-16.76106572574545
2,-21.582519457770665
3,-16.009892112350236
4,-16.285917985111396
5,-13.894949183160795
6,-19.338777512572875
7,-14.90749023339049
8,-13.25518801744387
9,-21.989393000745114
10,-15.317586318026779
11,86.21870116961779
12,91.11932135956285
13,92.58666843703422
14,80.90828917133479
15,-12.398813639366807
16,1.3480391389415463
17,13.903680197577449
18,16.19203417678544
19,3.0024650713479923
20,-8.950378906224556
21,-12.112871574672
22,-3.6551631864206615
23,-2.7443619909553676
